Date,Price,Open,High,Low,Vol.,Change %,SentimentSum
2021-12-03,277.43,278.71,279.97,275.27,5.93M,-0.59%,0
2021-12-02,279.09,276.68,280.37,275.29,4.93M,1.49%,0
2021-12-01,275.00,279.54,281.72,274.79,5.17M,-0.61%,0
2021-11-30,276.69,279.94,280.20,275.89,9.93M,-1.92%,0
2021-11-29,282.12,284.00,284.98,281.42,5.39M,-0.34%,0
2021-11-26,283.09,280.28,284.71,279.76,4.44M,-1.46%,0
2021-11-24,287.28,287.44,288.32,286.09,4.92M,-0.44%,0
2021-11-23,288.56,285.15,288.73,285.05,4.49M,1.26%,0
2021-11-22,284.97,280.73,286.44,280.01,5.04M,1.78%,0
2021-11-19,279.99,280.96,280.97,278.01,4.54M,-0.23%,0
2021-11-18,280.63,281.10,281.75,279.25,3.34M,-0.34%,0
2021-11-17,281.59,283.12,283.12,280.90,3.74M,-0.62%,0
2021-11-16,283.36,284.47,285.16,283.12,4.26M,-0.46%,0
2021-11-15,284.67,286.60,286.99,284.24,3.22M,-0.46%,0
2021-11-12,285.99,284.88,286.10,283.80,2.92M,0.47%,0
2021-11-11,284.65,286.50,287.07,284.24,2.86M,-0.23%,0
2021-11-10,285.32,286.49,287.24,284.52,3.42M,-0.36%,0
2021-11-09,286.35,288.79,288.99,285.30,3.59M,-0.85%,0
2021-11-08,288.80,290.00,295.65,288.61,4.72M,0.32%,0
2021-11-05,287.88,288.83,290.70,286.82,3.58M,0.07%,0
2021-11-04,287.69,289.13,289.13,285.25,3.43M,-0.36%,0
2021-11-03,288.72,287.21,288.88,286.13,2.78M,0.27%,0
2021-11-02,287.93,286.61,288.50,285.22,3.84M,0.59%,0
2021-11-01,286.24,288.05,288.42,285.62,2.89M,-0.27%,0
2021-10-29,287.01,288.81,290.00,286.74,4.42M,-0.94%,0
2021-10-28,289.72,288.21,289.86,287.20,3.31M,0.67%,0
2021-10-27,287.78,290.85,290.95,287.64,3.69M,-1.06%,0
2021-10-26,290.85,290.65,292.22,290.30,3.88M,0.20%,0
2021-10-25,290.26,289.70,290.47,287.60,3.14M,0.35%,0
2021-10-22,289.24,287.66,289.80,286.24,3.41M,0.84%,0
2021-10-21,286.82,286.99,287.28,285.25,2.49M,-0.23%,0
2021-10-20,287.49,284.34,287.70,284.32,3.15M,0.93%,0
2021-10-19,284.83,283.60,285.15,283.05,2.69M,0.79%,0
2021-10-18,282.59,282.83,283.51,281.57,3.55M,-0.57%,0
2021-10-15,284.21,283.94,284.97,282.27,4.32M,0.91%,0
2021-10-14,281.64,280.81,282.38,279.30,3.65M,1.35%,0
2021-10-13,277.90,278.47,279.41,275.55,3.31M,-0.26%,0
2021-10-12,278.62,281.46,281.52,278.21,3.77M,-0.82%,0
2021-10-11,280.93,284.43,285.61,280.80,2.91M,-1.13%,0
2021-10-08,284.14,282.59,284.72,281.71,2.30M,0.42%,0
2021-10-07,282.95,282.14,284.99,282.14,3.80M,0.97%,0
2021-10-06,280.22,276.28,280.39,274.61,3.87M,0.78%,0
2021-10-05,278.05,273.86,279.67,273.20,5.07M,1.61%,0
2021-10-04,273.64,274.68,276.96,273.05,4.31M,-0.75%,0
2021-10-01,275.71,273.02,277.51,272.22,3.95M,1.01%,0
2021-09-30,272.94,278.37,278.37,272.84,5.19M,-1.57%,0
2021-09-29,277.29,277.03,278.78,275.95,2.95M,0.18%,0
2021-09-28,276.79,279.14,281.38,275.82,4.96M,-1.05%,0
2021-09-27,279.72,279.77,280.63,278.12,3.36M,0.67%,0
2021-09-24,277.87,278.30,279.13,277.41,3.11M,-0.09%,0
2021-09-23,278.12,275.15,279.70,275.01,4.73M,1.48%,0
2021-09-22,274.07,276.28,276.61,273.67,5.02M,0.33%,0
2021-09-21,273.18,276.03,276.22,272.59,4.65M,-0.37%,0
2021-09-20,274.20,273.05,274.91,271.36,7.65M,-0.92%,0
2021-09-17,276.76,277.64,281.00,275.42,15.86M,-0.27%,0
2021-09-16,277.51,278.96,279.21,276.21,4.21M,-0.24%,0
2021-09-15,278.18,277.60,279.06,276.67,3.88M,0.35%,0
2021-09-14,277.20,280.54,280.78,276.36,5.28M,-0.97%,0
2021-09-13,279.92,278.36,280.84,277.82,4.60M,0.84%,0
2021-09-10,277.60,279.97,279.97,277.49,4.55M,-0.36%,0
2021-09-09,278.61,278.91,280.11,278.37,3.68M,-0.26%,0
2021-09-08,279.34,278.18,279.95,277.59,4.65M,0.16%,0
2021-09-07,278.90,281.91,281.91,278.73,4.87M,-1.06%,0
2021-09-03,281.89,284.30,284.82,281.71,4.50M,-1.11%,0
2021-09-02,285.05,285.35,286.44,284.21,3.97M,-0.07%,0
2021-09-01,285.26,286.59,287.14,284.85,3.33M,-0.18%,0
2021-08-31,285.77,285.28,286.33,284.76,6.50M,0.04%,0
2021-08-30,285.66,286.30,287.04,285.02,3.51M,-0.33%,0
2021-08-27,286.60,285.62,286.71,285.12,3.49M,0.47%,0
2021-08-26,285.27,288.16,288.17,284.98,3.34M,-0.71%,0
